,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre
11953,27629,Tantei Kageki Milky Holmes TD,TV,Card game,12,False,"Jan 3, 2015 to Mar 28, 2015",22 min. per ep.,PG-13 - Teens 13 or older,6.45,2028,5824.0,4516,6044,7,Winter 2015,Saturdays at 22:00 (JST),"Sotsu, Bushiroad, Chrono Gear Creative","J.C.Staff, Nomad","Comedy, Mystery, Super Power"
11966,28283,Sengoku Musou,TV,Game,12,False,"Jan 12, 2015 to Mar 30, 2015",24 min. per ep.,PG-13 - Teens 13 or older,6.65,5042,4984.0,2957,16264,29,Winter 2015,Mondays at 01:35 (JST),"TV Tokyo, Avex Entertainment, Nihon Ad Systems, Tezuka Productions, Koei",TYO Animations,"Action, Historical, Samurai"
11970,33572,Idol Memories,TV,Original,12,False,"Oct 3, 2016 to Dec 19, 2016",12 min. per ep.,PG-13 - Teens 13 or older,5.35,882,8609.0,4378,6499,6,Fall 2016,Mondays at 00:30 (JST),Glovision,Seven Arcs Pictures,Music
11975,31859,Hai to Gensou no Grimgar,TV,Light novel,12,False,"Jan 11, 2016 to Mar 28, 2016",24 min. per ep.,PG-13 - Teens 13 or older,7.83,179108,830.0,163,341166,3360,Winter 2016,Mondays at 00:30 (JST),TOHO animation,A-1 Pictures,"Action, Adventure, Drama, Fantasy"
11980,1410,IGPX: Immortal Grand Prix (2005) 2nd Season,TV,Original,13,False,"May 20, 2006 to Aug 26, 2006",24 min. per ep.,PG-13 - Teens 13 or older,7.36,4130,2189.0,4053,7926,26,Spring 2006,Unknown,Bee Train,Production I.G,"Mecha, Sci-Fi, Shounen, Sports"
12004,3841,Chi&#039;s Sweet Home,TV,Manga,104,False,"Mar 31, 2008 to Sep 25, 2008",3 min. per ep.,G - All Ages,7.79,16579,893.0,1688,43447,382,Spring 2008,Not scheduled once per week,"TV Tokyo, Hakuhodo DY Media Partners",Madhouse,"Comedy, Slice of Life"
12006,27663,Baby Steps 2nd Season,TV,Manga,25,False,"Apr 5, 2015 to Sep 20, 2015",24 min. per ep.,PG-13 - Teens 13 or older,8.16,30730,354.0,1495,51969,244,Spring 2015,Sundays at 17:30 (JST),NHK,Studio Pierrot,"Sports, Romance, School, Shounen"
12015,6980,Kaidan Restaurant,TV,Picture book,23,False,"Oct 13, 2009 to Jun 8, 2010",19 min. per ep.,PG - Children,7.36,3399,2190.0,3476,11428,46,Fall 2009,Tuesdays at 19:30 (JST),TV Asahi,Toei Animation,"Horror, Kids, Mystery, Supernatural"
12019,31044,Kamisama Minarai: Himitsu no Cocotama,TV,Original,0,True,"Oct 1, 2015 to ?",24 min.,PG - Children,6.11,219,7057.0,7088,1792,9,Fall 2015,Thursdays at 17:55 (JST),"TV Tokyo, Lantis",OLM,"Slice of Life, Kids, Magic, Fantasy"
12024,783,Miami Guns,TV,Manga,13,False,"Feb 5, 2000 to May 20, 2000",23 min. per ep.,R - 17+ (violence & profanity),6.58,1163,5292.0,5601,3528,5,Winter 2000,Sundays at 01:45 (JST),"Kodansha, Animaruya",Group TAC,"Comedy, Ecchi, Police, Shounen"
